,proper_date,permit_date,owner_name,combined_address,contractor_name,type_of_work,int_sq_feet,int_valuation,currency_valuation,ApplicationPermitNumber,CommercialorResidential,TypeofWork,SiteNumber,SiteStreet,SiteStreetType,SiteStreetDirectional,SiteZip,Lot,Block,Subdivision,TotalSquareFeet,PlanCheckValuation,OwnerName,ContractorName,IssueDate,NumberOfUnits
0,2023-04-07,"Apr 07, 2023",Trish  Hall  ,2500 Menaul Blvd. NE,"Trident Construction Group, LLC",,43,50000.0,"$50,000.00",BP-2023-11740,Commercial,a foundation,2500,MENAUL,BLVD,NE,,A1,0000,SANDIA FOUNDATION--AMAFCA,43,50000,TRISH  HALL  - CU178487866,"TRIDENT CONSTRUCTION GROUP, LLC",20230407,
1,2023-04-07,"Apr 07, 2023",Tate Fishburn ,801 1St St. NW,"Aic General Contractors Inc., Tate Fishburn Architect",,353,75000.0,"$75,000.00",BP-2023-09183,Commercial,alterations,801,1ST,ST,NW,,A,12,ARMIJO--FRANCISCO Y OTERO,353,75000,TATE FISHBURN - CU30544963,"AIC GENERAL CONTRACTORS, INC., TATE FISHBURN ARCHITECT",20230407,1
2,2023-04-07,"Apr 07, 2023",Kaitlin Butler ,5420 Watson  SE,"Crafton Communications, Qualtek Wireless Llc",,15,25000.0,"$25,000.00",BP-2023-00369,Commercial,alterations,5420,WATSON,DR,SE,,F,0000,MESA DEL SOL INNOVATION PARK II,15,25000,KAITLIN BUTLER - CU170913270,"CRAFTON COMMUNICATIONS, QUALTEK WIRELESS LLC",20230407,
3,2023-04-06,"Apr 06, 2023",Erika Ruiz ,8601 Central Ave. NE,"Barnsley Construction, Llc, Pm Design Group Inc. Phoenix",,6762,120000.0,"$120,000.00",BP-2022-51855,Commercial,alterations,8601,CENTRAL,AV,NE,,C1,8,MESA VERDE ADDN,6762,120000,ERIKA RUIZ - CU163523932,"BARNSLEY CONSTRUCTION, LLC, PM DESIGN GROUP INC PHOENIX",20230406,
4,2023-04-06,"Apr 06, 2023",Cindy Jones ,2100 Carlisle Blvd. NE,"Esi Construction Inc., Brr Architecture Inc.",,44468,7600000.0,"$7,600,000.00",BP-2022-19841,Commercial,alterations,2100,CARLISLE,BLVD,NE,,A1,0000,CARLISLE & INDIAN SCHOOL,44468,7600000,CINDY JONES - CU108180633,"ESI CONSTRUCTION INC, BRR ARCHITECTURE INC",20230406,1
5,2023-04-06,"Apr 06, 2023",Charles Giannini Jr ,4401 Alameda Blvd. NE,Enterprise Builders Corp.,,1731,60000.0,"$60,000.00",BP-2023-02799,Commercial,alterations,4401,ALAMEDA,BLVD,NE,,26,0000,RICHFIELD PARK,1731,60000,CHARLES GIANNINI JR - CU151416275,ENTERPRISE BUILDERS CORPORATION,20230406,
6,2023-04-05,"Apr 05, 2023",Richard Ayala ,100 Sun Ave. NE,Prestigious Homes Llc,,2000,30000.0,"$30,000.00",BP-2022-52304,Commercial,alterations,100,SUN,AV,NE,,3A1A1B,0000,JOURNAL CENTER,2000,30000,RICHARD AYALA - CU65917809,PRESTIGIOUS HOMES LLC,20230405,
7,2023-04-05,"Apr 05, 2023",Mcr Companies ,4700 Jefferson St. NE,Fastsigns,,0,0.0,,GP-2023-07647,Commercial,a commercial sign,4700,JEFFERSON,ST,NE,,E3A,0000,ALLWOODS,0,0,MCR COMPANIES ,FASTSIGNS,20230405,0
8,2023-04-05,"Apr 05, 2023",Whataburger,99999 98Th St. SW,Signart Of New Mexico Inc.,,0,0.0,,GP-2023-04169,Commercial,a commercial sign,99999,98TH,ST,SW,,E,0000,MEADOWS AT ANDERSON HILLS UNIT 1,0,0,WHATABURGER,"SIGNART OF NEW MEXICO, INC.",20230405,0
9,2023-04-05,"Apr 05, 2023",Goodwill,6001 Lomas Blvd. NE,Signart Of New Mexico Inc.,,0,0.0,,GP-2023-09244,Commercial,a commercial sign,6001,LOMAS,BLVD,NE,,1/FAIR PLAZA SHPPING CNTR,15&16,MILE HI ADDN,0,0,GOODWILL,"SIGNART OF NEW MEXICO, INC.",20230405,0
