,proper_date,permit_date,owner_name,combined_address,contractor_name,type_of_work,int_sq_feet,int_valuation,currency_valuation,ApplicationPermitNumber,CommercialorResidential,TypeofWork,SiteNumber,SiteStreet,SiteStreetType,SiteStreetDirectional,SiteZip,Lot,Block,Subdivision,TotalSquareFeet,PlanCheckValuation,OwnerName,ContractorName,IssueDate,NumberOfUnits
0,2023-08-10,"Aug 10, 2023",Kevin Juno ,11811 Menaul Blvd. NE,"Xtreme Builders Construction, LLC, Juno Architects",,9933,50000.0,"$50,000.00",BP-2022-53753,Commercial,alterations,11811,MENAUL,BLVD,NE,,7,6,ENCHANTED MESA,9933,50000,KEVIN JUNO - CU63388370,"XTREME BUILDERS CONSTRUCTION, LLC, JUNO ARCHITECTS",20230810,
1,2023-08-10,"Aug 10, 2023",Lrs Office Llc,4121 Eubank Blvd. NE,Positive Energy Solar,,0,69220.89,"$69,220.89",GP-2023-15484,Commercial,a roof mounted solar project,4121,EUBANK,BLVD,NE,,B1,0000,SIERRA VISTA TOWNHOUSES,0,69220.89,LRS OFFICE LLC,POSITIVE ENERGY SOLAR,20230810,0
2,2023-08-10,"Aug 10, 2023",Laura Stamatkin ,6105 Coronado Ave. NE,"Design Plus Llc, E-Qual Construction Llc",,7873,350000.0,"$350,000.00",BP-2023-18059,Commercial,alterations,6105,CORONADO,AV,NE,,18,6,N ABQ ACRES TRACT A UNIT A,7873,350000,LAURA STAMATKIN - CU116839229,"DESIGN PLUS LLC, E-QUAL CONSTRUCTION LLC",20230810,
3,2023-08-09,"Aug 09, 2023",First American Title,6300 Riverside Plaza  NW,"Signplex, LLC",,0,0.0,,GP-2023-10226,Commercial,a commercial sign,6300,RIVERSIDE PLAZA,LA,NW,,5A3,0000,RIVERSIDE PLAZA,0,0,FIRST AMERICAN TITLE,"SIGNPLEX, LLC",20230809,0
4,2023-08-09,"Aug 09, 2023",Panda Express,1408 Mercantile Ave. NE,Electrical Products Co.,,0,1800.0,"$1,800.00",GP-2023-12372,Commercial,a commercial sign,1408,MERCANTILE,AV,NE,,5B2C1A1,0000,RENAISSANCE CENTER,0,1800,PANDA EXPRESS,ELECTRICAL PRODUCTS COMPANY,20230809,0
5,2023-08-09,"Aug 09, 2023",Three Black Cats Snarky Gifts ,2641 Coors Blvd. NW,"Del Rio Signs, LLC",,0,0.0,,GP-2023-12543,Commercial,a commercial sign,2641,COORS,BLVD,NW,,5A,0000,QUAIL RIDGE,0,0,THREE BLACK CATS SNARKY GIFTS ,"DEL RIO SIGNS, LLC",20230809,0
6,2023-08-09,"Aug 09, 2023",Onin Staffing,6001 San Mateo Blvd. NE,"Signplex, LLC",,0,0.0,,GP-2023-12935,Commercial,a commercial sign,6001,SAN MATEO,BLVD,NE,,3A1,0000,BLACK ADDN,0,0,ONIN STAFFING,"SIGNPLEX, LLC",20230809,0
7,2023-08-09,"Aug 09, 2023",Doug Heller ,6300 Jefferson St. NE,"Consolidated Builders, Mullen Heller Architecture",,10419,1000000.0,"$1,000,000.00",BP-2023-02549,Commercial,city project,6300,JEFFERSON,ST,NE,87109,A1A1A/LOVELACE HOSPITAL,0000,LOVELACE HOSPITAL,10419,1000000,DOUG HELLER - CU76280795,"CONSOLIDATED BUILDERS, MULLEN HELLER ARCHITECTURE",20230809,
8,2023-08-09,"Aug 09, 2023",Flash Automotive,8333 Jefferson St. NE,"Signplex, LLC",,0,0.0,,GP-2023-10744,Commercial,a commercial sign,8333,JEFFERSON,ST,NE,,7A,0000,LOOP INDUSTRIAL DISTRICT UNIT 5,0,0,FLASH AUTOMOTIVE,"SIGNPLEX, LLC",20230809,0
9,2023-08-09,"Aug 09, 2023",Sunglass Hut #5289,2200 Louisiana Blvd. NE,"Signplex, LLC",,0,0.0,,GP-2023-15168,Commercial,a commercial sign,2200,LOUISIANA,BLVD,NE,,A1,0000,ABQ UPTOWN SITE,0,0,SUNGLASS HUT #5289,"SIGNPLEX, LLC",20230809,0
10,2023-08-09,"Aug 09, 2023",Main Event,4040 Pan American Frwy  NE,Signart Of New Mexico Inc.,,0,0.0,,GP-2023-19142,Commercial,a commercial sign,4040,PAN AMERICAN FRWY,,NE,,2B,0000,SRCC ALBUQUERQUE CARPENTERS TRAINING CENTER,0,0,MAIN EVENT,"SIGNART OF NEW MEXICO, INC.",20230809,0
11,2023-08-09,"Aug 09, 2023",Meshach Alvarado ,6300 Jefferson St. NE,All-Rite Construction Inc.,,200,18533.0,"$18,533.00",BP-2023-18634,Commercial,minor alterations or repairs,6300,JEFFERSON,ST,NE,87109,A1A1A/LOVELACE HOSPITAL,0000,LOVELACE HOSPITAL,200,18533,MESHACH ALVARADO - CU67392988,ALL-RITE CONSTRUCTION INC.,20230809,
12,2023-08-09,"Aug 09, 2023",Momentary Genius Llc,3310 Candelaria Road NE,Positive Energy Solar,,0,68124.5,"$68,124.50",GP-2023-23769,Commercial,solar under 10kw - ground,3310,CANDELARIA,RD,NE,,9 REMAINING PORTION OF,9,DUKE CITY INDUSTRIAL AREA ADDN,0,68124.5,MOMENTARY GENIUS LLC,POSITIVE ENERGY SOLAR,20230809,0
13,2023-08-08,"Aug 08, 2023",Clinton Wilsey ,5901 Wyoming Blvd. NE,"Insight Construction, LLC, 66Architect, LLC",,2366,75000.0,"$75,000.00",BP-2023-19662,Commercial,a change-of-use project,5901,WYOMING,BLVD,NE,,A4A,0000,NORTH TOWN PLAZA,2366,75000,CLINTON WILSEY - CU55383297,"INSIGHT CONSTRUCTION, LLC, 66ARCHITECT, LLC",20230808,1
14,2023-08-08,"Aug 08, 2023",Xavier ,1037 Palomas  SE,American Restoration Water And Fire Llc,,0,10000.0,"$10,000.00",GP-2023-30594,Commercial,demolition - demolition,1037,PALOMAS,DR,SE,,11,3,VIRGINIA PLACE ADDN,0,10000,XAVIER ,AMERICAN RESTORATION WATER AND FIRE LLC,20230808,0
15,2023-08-08,"Aug 08, 2023",My Little World Early Learning Center ,303 Old Coors  SW,"Del Rio Signs, LLC",,0,0.0,,GP-2023-16658,Commercial,a commercial sign,303,OLD COORS,DR,SW,,100,0000,RIO GRANDE HEIGHTS ADDN,0,0,MY LITTLE WORLD EARLY LEARNING CENTER ,"DEL RIO SIGNS, LLC",20230808,0
16,2023-08-08,"Aug 08, 2023",David Mceachern ,7518 Oakland Ave. NE,"Picasso Builders Llc, Rba Architects",,13909,80000.0,"$80,000.00",BP-2023-06238,Commercial,an addition,7518,OAKLAND,AV,NE,,14,3,N ABQ ACRES TR 2 UNIT 3,13909,80000,DAVID MCEACHERN - CU79620717,"PICASSO BUILDERS LLC, RBA ARCHITECTS",20230808,1
17,2023-08-08,"Aug 08, 2023",Becca Hull ,5301 Quail Road NW,"Barnsley Construction, LLC, Rogue Architects",,4486,2000000.0,"$2,000,000.00",BP-2023-21149,Commercial,alterations,5301,QUAIL,RD,NW,,1,0000,MICKEY DS UNIT 1,4486,2000000,BECCA HULL - CU92265026,"BARNSLEY CONSTRUCTION, LLC, ROGUE ARCHITECTS",20230808,
